month_number,part_of_week,start_station,dest_station,2017,2018,diff_2017_to_2018,diff_pct_2017_to_2018,categorical_from_station,categorical_dest_station,from_station_full,to_station_full
1,weekday,BP,NB,28.0,28.904761904761905,0.9047619047619051,1.032312925170068,BP,NB,Balboa Park,North Berkeley
1,weekday,BP,NC,25.4,23.142857142857146,-2.2571428571428527,0.9111361079865019,BP,NC,Balboa Park,North Concord
1,weekday,BP,OA,8.65,6.7142857142857135,-1.9357142857142868,0.7762180016515275,BP,OA,Balboa Park,Oakland International Airport
1,weekday,BP,OR,15.2,17.38095238095238,2.1809523809523803,1.1434837092731829,BP,OR,Balboa Park,Orinda
1,weekday,BP,OW,70.2,67.42857142857143,-2.7714285714285722,0.9605209605209605,BP,OW,Balboa Park,West Oakland
1,weekday,BP,PH,46.35,43.76190476190475,-2.5880952380952493,0.9441619150357012,BP,PH,Balboa Park,Pleasant Hill
1,weekday,BP,PL,2021.9,1849.7619047619046,-172.1380952380955,0.9148632003372593,BP,PL,Balboa Park,Powell Street
1,weekday,BP,RM,67.9,65.71428571428571,-2.1857142857142975,0.9678098043341046,BP,RM,Balboa Park,Richmond
1,weekday,BP,RR,39.25,46.523809523809526,7.2738095238095255,1.1853199878677587,BP,RR,Balboa Park,Rockridge
1,weekday,BP,SB,120.85,110.8095238095238,-10.040476190476198,0.9169178635459148,BP,SB,Balboa Park,San Bruno
1,weekday,BP,SH,20.45,23.42857142857143,2.9785714285714313,1.14565141460007,BP,SH,Balboa Park,South Hayward
1,weekday,BP,SL,67.95,72.52380952380952,4.5738095238095156,1.0673113984372262,BP,SL,Balboa Park,San Leandro
1,weekday,BP,SO,100.8,94.1904761904762,-6.609523809523793,0.9344293272864703,BP,SO,Balboa Park,San Francisco International Airport
1,weekday,BP,SS,80.1,70.23809523809524,-9.861904761904754,0.8768800903632366,BP,SS,Balboa Park,South San Francisco
1,weekday,BP,UC,23.3,16.428571428571427,-6.871428571428574,0.7050889025137951,BP,UC,Balboa Park,Union City
1,weekday,BP,WC,46.6,48.523809523809526,1.923809523809524,1.04128346617617,BP,WC,Balboa Park,Walnut Creek
1,weekday,BP,WD,21.05,25.952380952380953,4.902380952380952,1.2328922067639407,BP,WD,Balboa Park,West Dublin/Pleasanton
1,weekday,BP,WP,86.4,88.4761904761905,2.07619047619049,1.0240299823633159,BP,WP,Balboa Park,Pittsburg/Bay Point
1,weekday,BP,WS,0.0,15.428571428571427,15.428571428571427,inf,BP,WS,Balboa Park,Warm Springs
1,weekday,CC,12,984.05,953.1428571428572,-30.90714285714273,0.9685918979145951,CC,12,Civic Center,12th Street / Oakland City Center
1,weekday,CC,16,731.0,620.7142857142858,-110.28571428571422,0.8491303498143444,CC,16,Civic Center,16th Street Mission
1,weekday,CC,19,1046.05,1025.6190476190477,-20.43095238095225,0.9804684743741195,CC,19,Civic Center,19th Street Oakland
1,weekday,CC,24,1144.25,973.4761904761904,-170.77380952380963,0.8507548092429018,CC,24,Civic Center,24th Street Mission
1,weekday,CC,AS,564.2,538.9047619047619,-25.29523809523812,0.9551661855809321,CC,AS,Civic Center,Ashby
1,weekday,CC,BF,468.15,454.0,-14.149999999999977,0.9697746448787782,CC,BF,Civic Center,Bayfair
1,weekday,CC,BK,740.05,689.3333333333335,-50.71666666666647,0.9314685944643383,CC,BK,Civic Center,Berkeley
1,weekday,CC,BP,1160.8,1082.857142857143,-77.94285714285706,0.9328541892291031,CC,BP,Civic Center,Balboa Park
1,weekday,CC,CC,92.35,67.71428571428571,-24.635714285714286,0.7332353623636785,CC,CC,Civic Center,Civic Center
1,weekday,CC,CL,445.55,394.8571428571428,-50.692857142857235,0.8862240890071659,CC,CL,Civic Center,Coliseum
1,weekday,CC,CM,472.3,465.28571428571433,-7.014285714285677,0.985148664589698,CC,CM,Civic Center,Colma
1,weekday,CC,CN,530.2,489.9523809523809,-40.24761904761914,0.9240897415171272,CC,CN,Civic Center,Concord
1,weekday,CC,CV,252.55,248.47619047619045,-4.073809523809558,0.9838692950947948,CC,CV,Civic Center,Castro Valley
